Incident_ID,Civilian_Officer,ORI,Gender,Race_Ethnic_Group,Asian_Race,HI_Islander_Race,Age,Injured,Injury_Level,Injury_Type,Medical_Aid,Injury_From_Preexisting_Condition,Received_Force_Location,Order_Of_Force_Specified,Order_Of_Force_Str,Received_Force,Received_Force_Type,DISCHARGE_OF_FIREARM_INDIVIDUAL,DISCHARGE_OF_FIREARM_INCIDENT,CIVILIAN_Signs_Impairment_Disability,CIVILIAN_Assaulted_Officer,CIVILIAN_Highest_Charge,CIVILIAN_Perceived_Armed,CIVILIAN_Perceived_Armed_Weapon,CIVILIAN_Firearm_Type,CIVILIAN_Resisted,CIVILIAN_Resistance_Type,CIVILIAN_Custody_Status,CIVILIAN_Confirmed_Armed,CIVILIAN_Confirmed_Armed_Weapon,CIVILIAN_K12_Type,OFFICER_Officer_Used_Force,OFFICER_Officer_Used_Force_Reason,OFFICER_On_Duty,OFFICER_Dress
URSUS-01-0000-2020-212,Civilian,CA0010000,male,"asian_indian, other",,,51_55,TRUE,serious_injury,cut,treated_at_facility_released,FALSE,arms_hands,FALSE,k_9_contact,TRUE,k_9_contact,FALSE,FALSE,none,TRUE,459 BURGLARY:FIRST DEGREE,TRUE,knife_blade_stabbing,,TRUE,active_resistance,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2020-212,Officer,CA0010000,male,white,,,31_35,TRUE,injury,bruised,no_medical_aid,FALSE,head,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape",TRUE,utility
URSUS-01-0000-2020-3d6,Civilian,CA0010000,male,white,,,41_45,TRUE,serious_injury,unconscious,treated_on_scene,FALSE,neck_throat,FALSE,carotid_hold,TRUE,carotid_hold,FALSE,FALSE,mental_disability,TRUE,245(A)(4) ADW/FORCE:POSSIBLE GBI,FALSE,,,TRUE,active_resistance,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2020-3d6,Officer,CA0010000,male,white,,,26_30,FALSE,,,,FALSE,arms_hands,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,utility
URSUS-01-0000-2020-3d6,Officer,CA0010000,male,white,,,26_30,FALSE,,,,FALSE,front_upper_chest,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,utility
URSUS-01-0000-2020-42e,Civilian,CA0010000,male,white,,,46_50,TRUE,injury,cut,treated_on_scene,FALSE,"head, front_legs",FALSE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,mental_disability,TRUE,243(C)(2) BATTERY AGAINST PO,FALSE,,,TRUE,active_resistance,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2020-42e,Officer,CA0010000,male,white,,,46_50,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2020-42e,Officer,CA0010000,male,black,,,26_30,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2020-42e,Officer,CA0010000,male,asian,chinese,,26_30,TRUE,serious_injury,bone_fracture,treated_at_facility_released,FALSE,front_legs,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2020-42e,Officer,CA0010000,male,white,,,46_50,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"overcome_resistance, defense",TRUE,utility
